ID_REF	VALUE
10344614	6.984363883
10344616	4.308766915
10344618	4.365054744
10344620	4.632695085
10344622	7.782132594
10344624	11.0674675
10344633	10.83168196
10344637	9.828278525
10344653	5.209453054
10344658	9.179149336
10344674	4.66262594
10344679	7.123897496
10344705	8.347635009
10344707	8.58225329
10344713	11.45477274
10344715	4.827220284
10344717	5.223408262
10344719	6.402514645
10344721	4.087462841
10344723	7.717864886
10344725	7.254662348
10344741	11.80501428
10344743	5.585936382
10344750	8.743308617
10344772	5.180581806
10344789	8.922257266
10344797	9.012502303
10344799	9.016899637
10344801	9.040288351
10344803	9.316296468
10344805	8.685420483
10344807	8.602033309
10344809	8.313510164
10344811	8.909892064
10344813	8.241472696
10344815	8.767119912
10344817	8.994450292
10344819	7.749195409
10344821	8.015298294
10344835	9.865634366
10344837	7.95150597
10344879	8.018062608
10344895	8.045528047
10344897	12.41020236
10344922	5.513999673
10344924	4.472507137
10344929	5.078044762
10344931	12.52357894
10344933	9.544182037
10344935	8.245154591
10344939	9.3834734
10344950	7.291594994
10344952	10.05240951
10344960	8.85716334
10344966	9.95644368
10344973	7.519703708
10344981	10.31839729
10344990	9.331973198
10345007	4.503014803
10345016	9.705260522
10345025	11.49670166
10345028	4.254156134
10345030	6.114668194
10345032	6.206459594
10345037	8.550642407
10345046	7.931841464
10345058	7.859759637
10345065	5.851286381
10345074	6.240803923
10345077	4.269507108
10345079	5.239676311
10345083	4.617598758
10345087	6.770906516
10345089	5.829683163
10345091	7.164053624
10345099	5.932147249
10345101	8.629329296
10345141	9.173988875
10345167	5.141425515
10345172	6.256523098
10345174	9.122872245
10345181	4.560241049
10345183	8.70225443
10345190	6.143537705
10345197	4.326182095
10345200	5.470683275
10345203	8.572050555
10345206	6.639907762
10345212	7.076815597
10345224	4.647048859
10345226	4.338005095
10345228	7.879742826
10345230	9.928754635
10345241	10.48383371
10345350	6.563576033
10345352	6.768168442
10345357	11.00259733
10345368	9.127921759
10345370	6.154255217
10345387	5.72585467
10345393	6.147935298
10345401	6.868305808
10345404	7.105288042
10345406	6.169925001
10345409	6.906577978
10345411	8.24949654
10345423	8.568124285
10345436	9.137214443
10345438	6.805874112
10345440	4.960791363
10345442	9.878418439
10345445	8.997571807
10345457	5.461652315
10345482	8.779628425
10345492	8.929475226
10345504	12.27384239
10345509	5.537518326
10345527	5.513957146
10345529	6.263776414
10345546	7.429521818
10345548	7.119760893
10345550	7.316889712
10345552	9.077801636
10345554	6.018355097
10345556	6.896155939
10345558	5.389028247
10345571	5.122091466
10345580	9.096644375
10345608	9.997981408
10345616	7.491852696
10345620	10.09090052
10345626	9.218821118
10345656	5.630363532
10345666	10.52584073
10345675	8.009859962
10345698	12.65288447
10345704	8.80210896
10345706	10.17309407
10345715	11.03425926
10345752	5.090485937
10345762	9.715244753
10345777	8.160875174
10345791	5.060731204
10345807	4.770924377
10345824	4.959457939
10345840	6.100379869
10345855	5.362456212
10345869	6.824720573
10345875	5.637349353
10345877	5.131407819
10345879	6.415109463
10345882	8.37562291
10345895	5.7132856
10345902	5.323449804
10345904	8.055716535
10345909	13.50423963
10345911	5.225040812
10345913	9.584756601
10345921	8.997910863
10345926	8.383670168
10345928	5.90428531
10345930	10.08664659
10345967	9.121023278
10345981	9.204950108
10346000	10.24470633
10346015	11.72827607
10346067	4.664149719
10346069	5.920271526
10346072	6.994477401
10346074	9.925876841
10346098	4.803040642
10346105	12.45255503
10346107	5.473568283
10346109	6.323264944
10346114	8.434971348
10346116	6.004966935
10346137	6.585748015
10346139	5.086595945
10346141	4.603277564
10346146	6.222711067
10346150	9.925205258
10346164	9.20118062
10346168	7.380436648
10346191	8.27137581
10346222	9.13401232
10346224	9.018295057
10346235	8.121534553
10346250	8.502038432
10346255	8.652000149
10346260	8.20216076
10346269	4.89497279
10346298	9.083525759
10346303	11.76815744
10346310	10.95199306
10346321	7.979431712
10346323	8.148911435
10346328	10.89708709
10346330	7.984558477
10346337	7.853328583
10346340	8.564663318
10346348	10.75154423
10346365	10.30064999
10346374	5.721235657
10346410	5.569855365
10346448	5.608887495
10346485	5.761848942
10346523	12.17584068
10346533	10.64102266
10346544	8.44001002
10346549	11.59658626
10346551	8.02706888
10346562	7.015631482
10346564	10.97433736
10346576	9.03126875
10346592	6.346551495
10346594	5.780065324
10346607	10.67203553
10346611	5.171896619
10346634	9.932236651
10346651	11.62509
10346668	10.40851954
10346678	8.006592851
10346695	9.122094945
10346722	9.032730507
10346747	10.4165155
10346762	5.696707359
10346764	10.98338413
10346780	13.30456095
10346783	5.467690121
10346790	4.714077881
10346799	5.973287896
10346808	12.59405116
10346810	8.219302811
10346838	8.130886608
10346840	9.757875427
10346843	10.54248674
10346867	12.89709983
10346874	6.264279696
10346876	5.658897528
10346878	10.40619363
10346882	10.44876491
10346914	8.173310558
10346928	5.059141436
10346938	5.432181979
10346941	4.515368375
10346943	10.82860786
10346960	9.312727335
10346970	8.980542562
10347018	5.696213763
10347033	5.324371753
10347036	10.49970201
10347058	5.661919439
10347060	7.250798276
10347073	6.904787116
10347106	9.238893477
10347115	4.201470373
10347117	5.970925879
10347158	4.692212697
10347163	5.230976617
10347186	6.349494615
10347188	5.338227395
10347193	11.37152102
10347210	5.866616567
10347214	6.754532128
10347216	13.00726104
10347218	9.856104271
10347220	10.34675893
10347222	10.29505717
10347224	10.34685885
10347226	6.999404653
10347232	9.796431631
10347254	9.47120677
10347273	12.86981686
10347277	10.1786646
10347282	6.452149218
10347291	4.575198738
10347295	4.159534655
10347297	12.30630915
10347307	7.458571565
10347310	9.117993539
10347324	5.921674158
10347335	7.277486225
10347351	11.16927514
10347362	5.852861873
10347364	5.586338056
10347386	11.69954014
10347398	5.6841971
10347417	9.780209936
10347427	7.698993246
10347460	9.557295298
10347481	6.507916709
10347491	5.983840809
10347497	7.732933132
10347503	8.134597277
10347508	9.424738339
10347521	8.508560571
10347531	7.19646246
10347552	10.80311174
10347564	8.430688507
10347583	9.566081255
10347593	7.731379725
10347639	10.54418117
10347650	7.295942277
10347662	6.625483108
10347669	8.169163478
10347672	8.398797552
10347697	8.92868012
10347724	5.810592713
10347726	5.039659741
10347728	7.747654993
10347730	8.044934045
10347732	7.675690127
10347734	7.550922514
10347741	5.222575065
10347748	9.524025269
10347767	7.721099189
10347772	4.836224705
10347774	7.190943498
10347779	4.163852117
10347781	7.801189122
10347790	5.162990519
10347792	5.432927013
10347796	8.506807325
10347807	6.580024099
10347860	7.545149827
10347862	11.35953122
10347873	12.16290801
10347888	6.068838026
10347895	4.598373126
10347910	8.927046653
10347915	6.030996133
10347917	13.43507861
10347919	5.306324842
10347921	5.731567764
10347925	6.134790716
10347928	5.739963103
10347931	6.280334463
10347933	7.637474038
10347948	5.587627611
10347968	5.706763791
10347970	10.7663409
10347980	11.74446
10347988	6.061488278
10347992	4.547374805
10348000	6.128601079
10348004	11.92991276
10348030	9.873301989
10348032	8.677705338
10348062	7.438675518
10348070	6.651148298
10348072	7.141112097
10348074	6.330917147
10348076	6.918863476
10348078	13.07758667
10348087	10.00837974
10348096	9.767321693
10348119	5.688133742
10348131	6.691333212
10348144	6.577428828
10348150	5.403825091
10348166	6.135583503
10348180	11.34884509
10348194	8.253662298
10348201	10.42092088
10348234	5.385485396
10348240	5.88903098
10348244	6.157896136
10348277	8.747840521
10348299	6.53309935
10348301	6.303745685
10348321	9.019633536
10348354	6.366035221
10348376	6.242669685
10348378	5.083205708
10348410	5.074900565
10348420	5.883616907
10348424	9.32704066
10348432	9.924820667
10348451	8.719166735
10348456	11.13549857
10348468	6.056782275
10348471	8.144369165
10348489	7.026159887
10348493	8.794147026
10348521	5.3304626
10348537	7.74577851
10348547	8.169902058
10348556	6.099175255
10348558	7.952915816
10348570	7.178995625
10348580	7.406505803
10348590	6.554113758
10348600	7.244758364
10348618	8.484823297
10348632	9.731339229
10348635	5.705163351
10348637	5.959118547
10348639	5.71819263
10348641	6.759682364
10348643	5.828722712
10348645	6.326412948
10348653	10.38267849
10348664	6.408702691
10348666	7.928582684
10348670	9.731433712
10348682	8.287915958
10348697	6.464160817
10348702	5.014947739
10348713	6.576795263
10348739	9.106647995
10348775	10.84267334
10348789	5.999886158
10348791	6.504913192
10348817	12.54787682
10348829	8.666640433
10348858	8.453191356
10348864	7.420299982
10348866	9.126619302
10348879	9.243738095
10348889	8.249332223
10348896	4.901833078
10348902	5.001572132
10348906	6.604130792
10348910	5.608199812
10348917	8.361943116
10348924	13.78450511
10348927	4.540153772
10348929	11.98353377
10348932	8.448053102
10348943	4.182079658
10348945	6.140954893
10348947	4.272658821
10348963	6.344627556
10348983	5.130598855
10348992	4.106815294
10348994	5.206959951
10348996	4.941646845
10348999	6.227697762
10349014	12.48645955
10349016	9.569790306
10349049	12.64904506
10349051	5.722204157
10349065	8.88735193
10349081	8.564282433
10349100	11.32328843
10349102	5.408747724
10349108	4.917067933
10349118	4.584055963
10349129	4.640296135
10349138	4.342423896
10349147	4.159534655
10349157	4.958383213
10349166	4.64515553
10349174	7.566826263
