"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Zfyve9",3.81389,5.339525,5.347439,5.202045,6.043451,5.295956,6.135454,5.460139,5.770717,4.858219,5.656509,5.406949,7.102859,6.700732,6.756457
"Txndc12",8.46146,8.443135,8.296193,7.959395,8.077059,7.745296,8.184069,8.59274,8.643158,8.877255,8.615042,8.73879,7.569691,7.966977,7.650979
"Rab3b",1.201504,1.120631,1.028274,2.474291,1.262026,1.947462,4.000197,6.184914,6.150577,4.759706,4.094586,4.574864,10.80965,10.94589,10.59956
"Nrd1",8.673986,8.567125,8.745091,8.811608,9.071305,9.129119,8.74454,9.094119,9.134493,8.580858,8.780799,8.666286,9.903892,9.869328,9.775948
"Osbpl9",7.72529,7.194804,7.695768,7.927936,8.007452,7.796799,7.804433,7.799567,7.897695,7.655481,7.844956,7.242122,8.231723,7.814813,7.703699
"Eps15",5.533062,5.640711,4.993871,6.147619,6.173826,6.161519,6.08069,5.624876,6.362659,6.255435,6.335934,5.969008,7.023864,6.751798,6.900071
"Cdkn2c",8.259349,8.606962,8.383222,7.687768,7.044693,7.151159,5.29273,6.379867,6.175566,6.700862,6.681521,5.783205,5.619864,5.217565,5.428373
"Faf1",4.731891,5.796123,5.295252,5.390773,5.711024,6.00106,5.118293,5.257806,5.762561,5.540394,4.634394,5.792967,6.382593,6.270847,6.187999
"Elavl4",0.6249427,0.5768432,0.521881,0.6805181,0.6609068,0.6630859,4.391376,3.607703,4.039439,5.108462,4.503729,5.008774,1.033693,1.032519,0.9973469
"Spata6",5.783805,5.701682,4.222808,4.374915,4.392809,4.651811,4.798205,5.052664,5.011174,5.628933,4.964184,5.948057,4.310899,4.068409,5.209104
"RGD1564942",3.404298,2.993161,3.475896,4.937382,4.691166,5.080711,2.226761,2.816788,1.289781,2.248709,4.172604,4.681492,5.159334,5.460717,5.0315
"AABR07049695.3",6.057546,5.359316,6.337563,5.653423,5.869728,5.542689,4.385644,4.315452,4.813724,6.058491,5.705558,5.887426,5.04979,4.827277,4.168529
